hospital_name,full_address,classification,ownership,region,city
Caloocan City Medical Center,"450 A. Mabini St., Caloocan City",LGU,Government,NCR,Caloocan City
Ospital ng Malabon,"F. Sevilla Boulevard, Tañong, Malabon City",LGU,Government,NCR,Malabon City
San Lorenzo Ruiz General Hospital,"O. Reyes St., Rosita Subdivision, Santulan, Malabon City",DOH Retained,Government,NCR,Malabon City
Gat Andres Bonifacio Memorial Medical Center,"8001 Delpan St., Tondo, Manila",LGU,Government,NCR,Manila
Ospital ng Tondo,"Jose Abad Santos Avenue, Tondo, Manila",LGU,Government,NCR,Manila
Justice Jose Abad Santos General Hospital,"Numancia St., Binondo, Manila",LGU,Government,NCR,Manila
Ospital ng Sampaloc,"677 Geronimo St., cor. Carola St., Sampaloc, Manila",LGU,Government,NCR,Manila
Navotas City Hospital,"M. Naval St., Brgy. San Jose, Navotas City",LGU,Government,NCR,Navotas City
Ospital ng Parañaque,"0440 Quirino Ave., La Huerta, Parañaque City",LGU,Government,NCR,Parañaque City
Ospital ng Parañaque District II,"187 Taiwan Extension Corner Doña Soledad Avenue, Don Bosco, Parañaque City",LGU,Government,NCR,Parañaque City
Novaliches District Hospital,"Quirino Highway, San Bartolome, Novaliches, Quezon City",LGU,Government,NCR,Quezon City
San Juan Medical Center,"N. Domingo St., San Juan City",LGU,Government,NCR,San Juan City
Army General Hospital,"Fort Andres Bonifacio, Taguig City",AFP,Government,NCR,Taguig City
Manila Naval Hospital,"Naval Station, Jose Francisco, Fort Bonifacion, Taguig City",AFP,Government,NCR,Taguig City
Taguig City General Hospital,"C-6 Road, Hagonoy, Taguig",LGU,Government,NCR,Taguig
Taguig–Pateros District Hospital,"East Service Road, Western Bicutan, Taguig",LGU,Government,NCR,Taguig
Santa Ana Hospital,"New Panaderos St., Sta. Ana, Manila",LGU,Government,NCR,Manila
Mandaluyong City Medical Center,"605 Boni Avenue, Mandaluyong City",LGU,Government,NCR,Mandaluyong City
Air Force General Hospital,"Gozar St., Colonel Jesus Villamor Air Base, Pasay City",PAF,Government,NCR,Pasay City
Pasig City Children's Hospital – Child's Hope,"Industria St. cor. Alcalde Jose St., Kapasigan, Pasig City",LGU,Government,NCR,Pasig City
PNP General Hospital,"Camp Crame, Quezon City",PNP,Government,NCR,Quezon City
Rosario Maclang Bautista General Hospital,"IBP Road, Batasan Hills, District 2, Quezon City",LGU,Government,NCR,Quezon City
Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium,"St. Joseph Avenue (Dr. Uyguanco Street), Tala, Caloocan City",DOH Retained,Government,NCR,Caloocan City
Las Piñas General Hospital and Satellite Trauma Center,"Bernabe Compound, Pulanglupa, Las Piñas City",DOH Retained,Government,NCR,Las Piñas City
Dr. Jose Fabella Memorial Hospital,"Lope de Vega St., Sta. Cruz, Manila",DOH Retained,Government,NCR,Manila
Jose R. Reyes Memorial Medical Center,"San Lazaro Compound, Rizal Avenue, Sta. Cruz, Manila",DOH Retained,Government,NCR,Manila
